Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35
1,0,99539,-5889,85243,2306,83398,-37708,1,3760,85243,-17755,59755,-44945,60536,-38223,84356,-38542,58212,-32192,56971,-29674,36946,-47357,56811,-51171,41078,-46168,21266,-34090,42267,-54487,18641,-45300,1
0,0,1,-18829,93035,-36156,-10868,-93597,1,-4549,50874,-67743,34432,-69707,-51685,-97515,5499,-62237,33109,-1,-13151,-45300,-18056,-35734,-20332,-26569,-20468,-18401,-19040,-11593,-16626,-6288,-13738,-2447,1
1,0,1,-3365,1,485,1,-12062,88965,1198,73082,5346,85443,827,54591,299,83775,-13644,75535,-8540,70887,-27502,43385,-12062,57528,-40220,58984,-22145,43100,-17365,60436,-24180,56045,-38238,1
0,0,1,-45161,1,1,71216,-1,0,0,0,0,0,0,-1,14516,54094,-39330,-1,-54467,-69975,1,0,0,1,90695,51613,1,1,-20099,25682,1,-32382,1,1
1,0,1,-2401,94140,6531,92106,-23255,77152,-16399,52798,-20275,56409,-712,34395,-27457,52940,-21780,45107,-17813,5982,-35575,2309,-52879,3286,-65158,13290,-53206,2431,-62197,-5707,-59573,-4608,-65697,1
0,0,2337,-592,-9924,-11949,-763,-11824,14706,6637,3786,-6302,0,0,-4572,-15540,-343,-10196,-11575,-5414,1838,3669,1519,888,3513,-1535,-3240,9223,-7859,732,0,0,-39,12011,1
1,0,97588,-10602,94601,-20800,92806,-28350,85996,-27342,79766,-47929,78225,-50764,74628,-61436,57945,-68086,37852,-73641,36324,-76562,31898,-79753,22792,-81634,13659,-82510,4606,-82395,-4262,-81318,-13832,-80975,1
0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
1,0,96355,-7198,1,-14333,1,-21313,1,-36174,92570,-43569,94510,-40668,90392,-46381,98305,-35257,84537,-66020,75346,-60589,69637,-64225,85106,-65440,57577,-69712,25435,-63919,45114,-72779,38895,-73420,1
0,0,-1864,-8459,0,0,0,0,11470,-26810,-45663,-38172,0,0,-33656,38602,-37133,15018,63728,22115,0,0,0,0,-14803,-1326,20645,-2294,0,0,16595,24086,-8208,38065,1
1,0,1,6655,1,-18388,1,-27320,1,-43107,1,-41349,96232,-51874,90711,-59017,89230,-66474,69876,-70997,70645,-76320,63081,-80544,55867,-89128,47211,-86500,40303,-83675,30996,-89093,22995,-89158,1
0,0,1,-54210,1,-1,1,-1,1,36217,1,-41119,1,1,1,-1,1,-29354,1,-93599,1,1,1,1,1,-40888,1,-62745,1,-1,1,-1,1,-1,1
1,0,1,-16316,1,-10169,99999,-15197,1,-19277,94055,-35151,95735,-29785,93719,-34412,94486,-28106,90137,-43383,86043,-47308,82987,-51220,84080,-47137,76224,-58370,65723,-68794,68714,-64537,64727,-67226,1
0,0,1,-86701,1,22280,85492,-39896,1,-12090,1,35147,1,7772,1,-14767,1,-1,1,-1,61831,15803,1,62349,1,-17012,1,35924,1,-66494,1,88428,1,-18826,1
1,0,1,7380,1,3420,1,-5563,1,8764,1,19651,1,20328,1,12785,1,10561,1,27087,1,44758,1,41750,1,20033,1,36743,95603,48641,1,32492,1,46712,1
0,0,50932,-93996,1,26708,-3520,-1,1,-1,43685,-1,0,0,-1,-34265,-37681,3623,1,-1,0,0,0,0,-16253,92236,39752,26501,0,0,1,23188,0,0,1
