longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-12223,3788,410,8800,1290,3220,1260,83252,4526000
-12222,3786,210,70990,11060,24010,11380,83014,3585000
-12224,3785,520,14670,1900,4960,1770,72574,3521000
-12225,3785,520,12740,2350,5580,2190,56431,3413000
-12225,3785,520,16270,2800,5650,2590,38462,3422000
-12225,3785,520,9190,2130,4130,1930,40368,2697000
-12225,3784,520,25350,4890,10940,5140,36591,2992000
-12225,3784,520,31040,6870,11570,6470,312,2414000
-12226,3784,420,25550,6650,12060,5950,20804,2267000
-12225,3784,520,35490,7070,15510,7140,36912,2611000
-12226,3785,520,22020,4340,9100,4020,32031,2815000
-12226,3785,520,35030,7520,15040,7340,32705,2418000
-12226,3785,520,24910,4740,10980,4680,3075,2135000
-12226,3784,520,6960,1910,3450,1740,26736,1913000
-12226,3785,520,26430,6260,12120,6200,19167,1592000
-12226,3785,500,11200,2830,6970,2640,2125,1400000
-12227,3785,520,19660,3470,7930,3310,2775,1525000
-12227,3785,520,12280,2930,6480,3030,21202,1555000
-12226,3784,500,22390,4550,9900,4190,19911,1587000
-12227,3784,520,15030,2980,6900,2750,26033,1629000
-12227,3785,400,7510,1840,4090,1660,13578,1475000
-12227,3785,420,16390,3670,9290,3660,17135,1598000
-12227,3784,520,24360,5410,10150,4780,1725,1139000
-12227,3784,520,16880,3370,8530,3250,21806,997000
-12227,3784,520,22240,4370,10060,4220,26,1326000
-12228,3785,410,5350,1230,3170,1190,24038,1075000
-12228,3785,490,11300,2440,6070,2390,24597,938000
-12228,3785,520,18980,4210,11020,3970,1808,1055000
-12228,3784,500,20820,4920,11310,4730,16424,1089000
-12228,3784,520,7290,1600,3950,1550,16875,1320000
-12228,3784,490,19160,4470,8630,3780,19274,1223000
-12228,3784,520,21530,4810,11680,4410,19615,1152000
-12227,3784,480,19220,4090,10260,3350,17969,1104000
-12227,3783,490,16550,3660,7540,3290,1375,1049000
-12227,3783,510,26650,5740,12580,5360,27303,1097000
-12227,3783,490,12150,2820,5700,2640,14861,972000
-12227,3783,480,17980,4320,9870,3740,10972,1045000
-12228,3783,520,15110,3900,9010,4030,14103,1039000
-12226,3783,520,14700,3300,6890,3090,348,1914000
-12226,3783,520,24320,7150,13770,6960,25898,1760000
-12226,3783,520,16650,4190,9460,3950,20978,1554000
-12226,3783,510,9360,3110,5170,2490,12852,1500000
-12226,3784,490,7130,2020,4620,1890,1025,1188000
-12226,3784,520,9500,2020,4670,1980,39643,1888000
-12226,3783,520,14430,3110,6600,2920,30125,1844000
-12226,3783,520,16560,4200,7180,3820,26768,1823000
-12226,3783,500,11250,3220,6160,3040,2026,1425000
-12227,3782,430,10070,3120,5580,2530,17348,1375000
-12226,3782,400,6240,1950,4230,1600,9506,1875000
-12227,3782,400,9460,3750,7000,3520,1775,1125000
-12227,3782,210,8960,4530,7350,4380,9218,1719000
-12227,3782,430,18680,4560,10610,4070,15045,938000
-12227,3782,410,32210,8530,19590,7200,11108,975000
-12227,3782,520,16300,4560,11620,4000,12475,1042000
-12228,3782,520,11700,2350,7010,2330,16098,875000
-12228,3782,520,9450,2430,5760,2200,14113,831000
-12228,3782,520,12380,2880,6220,2590,15057,875000
-12228,3782,520,14890,3350,7280,2440,8172,853000
-12228,3782,520,13870,3410,10740,3040,12171,803000
-12229,3782,20,1580,430,940,570,25625,600000
-12229,3783,520,11210,2110,5540,1870,33929,757000
-12229,3782,490,1350,290,860,230,61183,750000
-12229,3781,500,7600,1900,3770,1220,9011,861000
-1223,3781,520,12240,2370,5210,1590,1191,761000
-1223,3781,480,8280,1820,3920,1330,25938,735000
-1223,3781,520,10100,2090,6040,1870,11667,784000
-1223,3781,480,14550,3540,7880,3320,8056,844000
-12229,378,520,10270,2440,4920,1470,26094,813000
-1223,3781,520,5720,1090,2740,820,18516,850000
-12229,3781,460,28010,6440,18230,6110,9802,1292000
-12229,3781,260,7680,1520,3920,1270,17719,825000
-12229,3781,460,9350,2970,5820,2770,7286,952000
-12229,3781,490,8440,2040,5600,1520,175,750000
-12229,3781,460,120,40,180,70,4999,675000
-12229,3781,200,8350,1610,2900,1330,2483,1375000
-12228,3781,170,12370,4620,7620,4390,9241,1775000
-12228,3781,360,29140,5620,12360,5090,24464,1021000
-12228,3781,190,12070,2430,7210,2070,11111,1083000
-12229,3781,230,17450,3740,10540,3250,8026,1125000
-12228,378,380,6840,1760,3440,1550,20114,1313000
-12228,3781,170,9240,2890,6090,2890,15,1625000
-12227,3781,520,2100,560,1830,560,11667,1125000
-12228,3781,520,3400,970,2000,870,15208,1125000
-12228,3781,520,3860,1640,3460,1550,8075,1375000
-12228,3781,350,9480,1840,4670,1690,18088,1188000
-12228,3781,520,7730,1430,3770,1150,24083,982000
-12227,3781,400,8800,4510,5820,3800,977,1188000
-12227,3781,100,8750,3480,5460,3300,76,1625000
-12227,378,100,1050,420,1250,390,9722,1375000
-12227,378,520,2490,780,3960,850,12434,5000010
-12227,378,160,9940,3920,8000,3620,20938,1625000
-12228,378,520,2150,870,9040,880,8668,1375000
-12228,378,520,960,310,1910,340,75,1625000
-12227,3779,270,10550,3470,7180,3020,26354,1875000
